[2026-03-04 08:24:23] [FILE_UPLOAD_SUCCESS] IP: 2404:8000:1070:1175:9c38:9bef:2082:27fa | Event: FILE_UPLOAD_SUCCESS | Details: file_sertifikat_prestasi: 83fb49f6b0e86e90b68e59f0d28da9c4_1772587463.pdf
[2026-03-04 08:24:23] [FILE_UPLOAD_SUCCESS] IP: 2404:8000:1070:1175:9c38:9bef:2082:27fa | Event: FILE_UPLOAD_SUCCESS | Details: file_akta: 50cf801d8984add57b3fecf1c838911b_1772587463.pdf
[2026-03-04 08:24:23] [FILE_UPLOAD_SUCCESS] IP: 2404:8000:1070:1175:9c38:9bef:2082:27fa | Event: FILE_UPLOAD_SUCCESS | Details: file_nisn: 353a2f0226aad152290782629d65800a_1772587463.pdf
[2026-03-04 08:36:57] [FILE_UPLOAD_SUCCESS] IP: 103.10.169.26 | Event: FILE_UPLOAD_SUCCESS | Details: foto_siswa: 3b102844562d99b738f941bd973219a0_1772588217.jpeg
[2026-03-04 08:36:57] [FILE_UPLOAD_SUCCESS] IP: 103.10.169.26 | Event: FILE_UPLOAD_SUCCESS | Details: file_nilai_rata: be5f6e06971fde45b0b9ca969510c76e_1772588217.pdf
[2026-03-04 08:36:57] [FILE_UPLOAD_SUCCESS] IP: 103.10.169.26 | Event: FILE_UPLOAD_SUCCESS | Details: file_ranking: 8290e1a19174f16e76eaea0330975cfc_1772588217.pdf
[2026-03-04 08:36:57] [FILE_UPLOAD_SUCCESS] IP: 103.10.169.26 | Event: FILE_UPLOAD_SUCCESS | Details: file_akta: 9ed2906b133a93067c1e0a6b53a02258_1772588217.pdf
[2026-03-04 08:36:57] [FILE_UPLOAD_SUCCESS] IP: 103.10.169.26 | Event: FILE_UPLOAD_SUCCESS | Details: file_nisn: cbc40df164e90e1c101ca723c169e6f4_1772588217.pdf
[2026-03-04 08:45:54] [FILE_UPLOAD_SUCCESS] IP: 103.129.26.180 | Event: FILE_UPLOAD_SUCCESS | Details: foto_siswa: 7e162bdd9777929cf0a63ab5a96d1cf3_1772588754.png
[2026-03-04 08:45:54] [FILE_UPLOAD_SUCCESS] IP: 103.129.26.180 | Event: FILE_UPLOAD_SUCCESS | Details: file_nilai_rata: 3cba1824498aab152d80e26219158967_1772588754.pdf
